GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
guest-service,org.example.guest.entity,GuestEntity,232,3,46,0,5,1,37,1,14,1
guest-service,org.example.guest.entity,AddressEntity,312,3,62,0,7,1,49,1,18,1
guest-service,org.example.guest.mapper,GuestMapper,80,3,10,0,23,1,7,1,2,1
guest-service,org.example.guest.mapper,AddressMapper,124,3,20,0,37,1,13,1,3,1
guest-service,org.example.guest,GuestApplication,5,3,0,0,2,1,1,1,1,1
guest-service,org.example.guest.model,Address,56,3,0,0,19,1,13,1,13,1
guest-service,org.example.guest.model,Reservation,189,126,55,7,0,8,38,12,7,12
guest-service,org.example.guest.model,Guest,151,84,41,5,0,6,31,7,8,7
guest-service,org.example.guest.model,GuestAddress,176,99,48,6,0,7,36,8,9,8
guest-service,org.example.guest.model,Hotel,42,3,0,0,18,1,12,1,12,1
guest-service,org.example.guest.model,Room,49,3,0,0,21,1,14,1,14,1
guest-service,org.example.guest.controller,GuestControllerImpl,0,80,0,2,0,12,0,9,0,8
guest-service,org.example.guest.controller,GuestControllerAdvice,31,7,0,0,8,2,3,2,3,2
guest-service,org.example.guest.service.impl,GuestServiceImpl,7,169,3,9,1,39,5,12,2,9
guest-service,org.example.guest.exception,GuestNotFoundException,0,4,0,0,0,2,0,1,0,1
guest-service,org.example.guest.exception,BookingNotAvailableException,0,4,0,0,0,2,0,1,0,1
guest-service,org.example.guest.exception,ErrorDetails,124,0,22,0,9,0,21,0,10,0
