GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
hotel-service,org.example.hotel,HotelApplication,5,3,0,0,2,1,1,1,1,1
hotel-service,org.example.hotel.controller,HotelControllerImpl,0,71,0,2,0,11,0,8,0,7
hotel-service,org.example.hotel.service.impl,HotelServiceImpl,0,123,5,5,0,30,5,7,0,7
hotel-service,org.example.hotel.entity,AddressEntity,49,3,0,0,21,1,14,1,14,1
hotel-service,org.example.hotel.entity,RoomEntity,49,3,0,0,21,1,14,1,14,1
hotel-service,org.example.hotel.entity,HotelEntity,42,3,0,0,18,1,12,1,12,1
hotel-service,org.example.hotel.constant,ActiveType,37,0,0,0,7,0,3,0,3,0
hotel-service,org.example.hotel.model,Room,49,3,0,0,21,1,14,1,14,1
hotel-service,org.example.hotel.model,Address,56,3,0,0,19,1,13,1,13,1
hotel-service,org.example.hotel.model,Reservation,197,118,55,7,0,8,40,10,9,10
hotel-service,org.example.hotel.model,Hotel,42,3,0,0,18,1,12,1,12,1
hotel-service,org.example.hotel.mapper,RoomMapper,159,3,20,0,43,1,15,1,5,1
hotel-service,org.example.hotel.mapper,AddressMapper,128,3,20,0,38,1,13,1,3,1
hotel-service,org.example.hotel.mapper,HotelMapper,112,3,12,0,32,1,9,1,3,1
